Assessment Name,Relative_URL,Remote Testing,Adaptive/IRT,Test Type,Assessment Length,description,languages,job levels
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,available,unavailable,,,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",Not found,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 30,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","English (USA),","Professional Individual Contributor, Mid-Professional,"
.NET MVC ,https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","English (USA),","Mid-Professional, Professional Individual Contributor,"
.NET MVVM ,https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","English (USA),","Mid-Professional, Professional Individual Contributor,"
.NET WCF ,https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","English (USA),","Mid-Professional, Professional Individual Contributor,"
.NET WPF ,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","English (USA),","Mid-Professional, Professional Individual Contributor,"
.NET XAML ,https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Accounts Payable ,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Payable Simulation ,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = 8,Simulated data entry test that measures the ability to process payables and vendor invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Receivable ,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Receivable Simulation ,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = 8,Simulated data entry test that measures the ability to process receivables and invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
ADO.NET ,https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Adobe Experience Manager ,https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","English (USA),","Mid-Professional, Professional Individual Contributor,"
